Cruise,Station Name,Date,Month,Parameter,Result,Units
CHFEB04,D3,2/19/2004,FEB,CHLA,16.8287,
CHFEB04,B3,2/19/2004,FEB,CHLA,17.5189,
CHFEB08,B3,2/22/2008,FEB,CHLA,30.4,
CHFEB08,D3,2/22/2008,FEB,CHLA,20,
CHFEB09,B3,2/17/2009,FEB,CHLA,25.9,
CHFEB09,D3,2/17/2009,FEB,CHLA,26,
CHFEB11,D3,2/17/2011,FEB,CHLA,5.9,
CHFEB11,B3,2/17/2011,FEB,CHLA,12.4,
CHFEB12,B3,2/16/2012,FEB,CHLA,0,
CHFEB12,D3,2/16/2012,FEB,CHLA,0,
CHFEB13,B3,2/14/2013,FEB,CHLA,0,
CHFEB13,D3,2/14/2013,FEB,CHLA,0,
CHFEB14,D3,2/20/2014,FEB,CHLA,9.7,
CHFEB14,B3,2/20/2014,FEB,CHLA,14.4,
CHFEB16,B3,2/17/2016,FEB,CHLA,14.1,
CHFEB16,D3,2/17/2016,FEB,CHLA,7.3,
CHFEB17,D3,2/21/2017,FEB,CHLA,0.25999,
CHFEB17,B3,2/21/2017,FEB,CHLA,0.33,
CHFEB18,D3,2/20/2018,FEB,CHLA,2.2,
CHFEB18,B3,2/20/2018,FEB,CHLA,4.1,
WQAPR03,A4,4/1/2003,APR,CHLA,29.2,ug/L
WQAPR03,D3,4/1/2003,APR,CHLA,6.1,ug/L
WQAPR03,C2,4/1/2003,APR,CHLA,7.8,ug/L
WQAPR03,C1,4/1/2003,APR,CHLA,10,ug/L
WQAPR03,09,4/1/2003,APR,CHLA,4.3,ug/L
WQAPR03,B3,4/1/2003,APR,CHLA,10.1,ug/L
WQAPR03,H4,4/2/2003,APR,CHLA,5.6,ug/L
WQAPR03,H6,4/2/2003,APR,CHLA,4.2,ug/L
WQAPR03,15,4/2/2003,APR,CHLA,5.4,ug/L
WQAPR03,F3,4/2/2003,APR,CHLA,6.7,ug/L
WQAPR03,F2,4/2/2003,APR,CHLA,7.2,ug/L
WQAPR03,E1,4/2/2003,APR,CHLA,4.8,ug/L
WQAPR03,M3,4/3/2003,APR,CHLA,3.8,ug/L
WQAPR03,K2,4/3/2003,APR,CHLA,3.9,ug/L
WQAPR03,J2,4/3/2003,APR,CHLA,4.3,ug/L
WQAPR03,I2,4/3/2003,APR,CHLA,2,ug/L
WQAPR03,H2,4/3/2003,APR,CHLA,4.1,ug/L
WQAPR04,K2,4/7/2004,APR,CHLA,1.4413,ug/L
WQAPR04,M3,4/7/2004,APR,CHLA,1.2,ug/L
WQAPR04,J2,4/7/2004,APR,CHLA,1.3,ug/L
WQAPR04,I2,4/7/2004,APR,CHLA,1.2,ug/L
WQAPR04,H2,4/7/2004,APR,CHLA,3,ug/L
WQAPR04,F3,4/12/2004,APR,CHLA,1.5,ug/L
