Species,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2
Achnanthes spp.,,,,,,,,,,
Actinocyclus spp.,,,,,,,,,,
Actinoptychus senarius,,,,,,,,,,
Actinoptychus undulatus,,,,,,,,,,
Amphiprora spp.,,,,,,,,,,
Amphora spp.,,,,,,,,,,
Asterionellopsis glacialis,,1452,,,,,,,,
Asteroplanus karianus,,,,,,,,,,
Bacillaria paxillifer,,,,,,,,,,
Bacteriastrum spp.,,,,,,,,,,
Biddulphia spp.,,,,,,,,,,
Cerataulina pelagica,,,,,,,,,,
Chaetoceros compressus,,,,,,,,,,
resting spores of Chaetoceros compressus,,,,,,,,,,
Chaetoceros constrictus,,,,,,,,,,
Chaetoceros curvisetus,,,,,,,,,,
Chaetoceros danicus,,,,,,,,,,
Chaetoceros decipiens,,,,,,,,,,
Chaetoceros didymus,,,,,,,,,,
resting spores of Chaetoceros didymus,,,,,,,,,,
Chaetoceros distans,,,,,,,,,,
Chaetoceros eibenii,,,,,,,,,,
Chaetoceros lorenzianus,,,,,,,,,,
resting spores of Chaetoceros lorenzianus,,,,,,,,,,
Chaetoceros pseudocurvisetus,,,,,,,,,,
Chaetoceros rostratus,,,,,,,,,,
Chaetoceros simplex,,,,,,,,,,
Chaetoceros socialis,,,,,,,,,,
Chaetoceros teres,,,,,,,,,,
Chaetoceros spp.,,,,,,,,,,1452
resting spores of Chaetoceros spp.,,,,,,,,,,
Climacosphenia moniligera,,,,,,,,,,
Corethron hystrix,,,,,,,,,,
Corethron criophlium,,,,,,,,,,
Coscinodiscus asteromphalus,,,,,,,,,,
Coscinodiscus bipartitus,,,,,,,,,,
Coscinodiscus blandus,,,,,,,,,,
Coscinodiscus concinus,,,,,,,,,,
Coscinodiscus lineatus,,,,,,,,,,
Coscinodiscus radiatus,,,,,,,,,,
Coscinodiscus spp.,,,,,,,,,,
Cylindrotheca closterium,,,,,,,,,,
Cyclotella spp.,,,,,,,,,,
Cyclotella striata,,,,,,,,,,
Cyclotella stylorum,,,,,,,,,,
Cymbella spp.,,,,,,,,,,
Dactyliosolen fragilissimus,580800,140800,70400,,,,,,5852,
Delphineis surriella,,,,,,,,,,
Delphineis spp. ,,,,,,,,,,
Detonula confervacea,,,,,,,,,,
Detonula pumila,,,,,,,,,,
Diatoma vulgaris,,,,,,,,,,
Ditylum brightwellii,,,,,,,,,,
Diploneis smithii,,,,,,,,,,
Diploneis sp.,,,,,,,,,,
Eucampia cornuta,,,,,,,,,,
Eucampia zodiacus,,,,,,,,,,
Fragilaria spp.,,,,,,,,,,14652
Frustulia spp.,1742,,,,,,,,,
Gomphonema spp.,,,,,,,,,,
Grammatophora marina,,,,,,,,,,
Guinardia delicatula,4699200,2437600,576400,268400,,,277200,149600,743600,312400
Guinardia striata,,,,,,,,,,
Guinardia flaccida,,,,,,,,,,
Guinardia spp. ,,,,,,,,,,
Haslea spp.,,,,,,,,,,
Hemiaulus sinensis,,,,,,,,,,
Hemidiscus cuneiformis,,,,,,,,,,
Lauderia annulata,,,,,,,,,,
Leptocylindrus danicus,,,,,,,,,,
Leptocylindrus minimus,,,,,,,,,,
Licmophora dalmatica,,,,,,,,,,
Licmophora flabellata,,,,,,,,,,
Lioloma spp.,,,,,,,,,,
Lithodesmium undulatum,,,,,,,,,,
Melosira nummuloides,,,,,,,,,,
Melosira spp.,,,,,,,,,,
Navicula ambigua,,,,,,,,,,
Navicula cryptocephala,,,,,,,,,,
Navicula spp.,,,,,,,,,,
Neodelphineis spp.,,,,,,,,,,
Nitzschia closterium,,,,,,,,,,2904
Nitzschia longissima,,,,,,,,,1452,
Nitzschia lorenziana,,,,,,,,,,
Nitzschia navicularis,,,,,,,,,,
Nitzschia obtusa,,,,,,,,,,
Nitzschia spp.,,,,,,,,,,
Odontella aurita,,,,,,,,,,
Odontella longicruris,,,,,,,,,,
Odontella mobiliensis,,,,,,,,,,
Odontella sinensis,,,,,,,,,,
Odontella spp.,,,,,,,,,,
Paralia sulcata,,5852,48400,30800,30800,13200,,,,1452
Pinnularia spp.,,,,,,,,,,
Pleurosigma angulatum,,,,,,,,,,
Pleurosigma directum,,,,,,,,,,
Pleurosigma falx,,,,,,,,,,
Pleurosigma normanii,,,,,,,,,,
Pleurosigma spp.,,,,,,,,,,
Pseudo-nitzschia spp.,,,,,,,,,,
Pseudo-nitzschia delicatissima,,,,,,,,,,
Pseudo-nitzschia pungens,,,,,,,,,,
Rhabdonema adriaticum,,,,,,,,,,
Rhaphoneis rhomoides,,,,,,,,,,
Rhaphoneis spp.,,,,,,,,,,
Rhizosolenia alata,,,,,,,,,,
Rhizosolenia calar-avis,,,,,,,,,,
Rhizosolenia longiseta,,,,,,,,,,
Rhizosolenia pungens,,,,,,,,,,
Rhizosolenia robusta,,,,,,,,,,
Rhizosolenia setigera,,,,,,,,,,
Rhizosolenia stolterfothii,,,,,,,,,,
Rhizosolenia styliformis,,,,,,,,,,
Rhizosolenia spp.,,,,352,,,,,,
