Cruise,Station.Name,Date,Depth.Code,Parameter,Result,non.detect,Units,Latitude,Longitude,Year,Month
WQFEB24,H2,2/5/2024,S,CHLA,1.4,FALSE,ppb,41.177669,-72.961165,2024,Feb
WQFEB24,M3,2/5/2024,S,CHLA,2,FALSE,ppb,41.236165,-72.052669,2024,Feb
WQFEB24,K2,2/5/2024,S,CHLA,2,FALSE,ppb,41.234163,-72.262834,2024,Feb
WQFEB24,J2,2/5/2024,S,CHLA,1.5,FALSE,ppb,41.181836,-72.457837,2024,Feb
WQFEB24,I2,2/5/2024,S,CHLA,1.7,FALSE,ppb,41.138167,-72.654834,2024,Feb
WQFEB24,09,2/6/2024,S,CHLA,3,FALSE,ppb,41.070671,-73.336336,2024,Feb
WQFEB24,A4,2/6/2024,S,CHLA,11.3,FALSE,ppb,40.872335,-73.734163,2024,Feb
WQFEB24,B3,2/6/2024,S,CHLA,12.7,FALSE,ppb,40.918502,-73.643335,2024,Feb
WQFEB24,C1,2/6/2024,S,CHLA,9,FALSE,ppb,40.955501,-73.580168,2024,Feb
WQFEB24,C2,2/6/2024,S,CHLA,4.9,FALSE,ppb,40.983667,-73.502669,2024,Feb
WQFEB24,D3,2/6/2024,S,CHLA,3.8,FALSE,ppb,40.994332,-73.410002,2024,Feb
WQFEB24,H4,2/7/2024,S,CHLA,2.8,FALSE,ppb,41.102165,-72.917334,2024,Feb
WQFEB24,F3,2/7/2024,S,CHLA,2.9,FALSE,ppb,41.017334,-73.145003,2024,Feb
WQFEB24,F2,2/7/2024,S,CHLA,1.7,FALSE,ppb,41.08033,-73.166829,2024,Feb
WQFEB24,E1,2/7/2024,S,CHLA,3.7,FALSE,ppb,41.019499,-73.292334,2024,Feb
WQFEB24,15,2/7/2024,S,CHLA,6.1,FALSE,ppb,40.931002,-73.221997,2024,Feb
WQFEB24,H6,2/7/2024,S,CHLA,4.3,FALSE,ppb,41.026001,-72.915169,2024,Feb
CHFEB24,A4,2/22/2024,S,CHLA,19.42,FALSE,ppb,40.872335,-73.733171,2024,Feb
CHFEB24,C1,2/22/2024,S,CHLA,4.07,FALSE,ppb,40.955668,-73.578337,2024,Feb
CHFEB24,E1,2/22/2024,S,CHLA,4.79,FALSE,ppb,41.019832,-73.291504,2024,Feb
CHFEB24,C2,2/22/2024,S,CHLA,6.01,FALSE,ppb,40.984001,-73.501335,2024,Feb
CHFEB24,09,2/22/2024,S,CHLA,10.48,FALSE,ppb,41.070833,-73.335498,2024,Feb
CHFEB24,B3,2/22/2024,S,CHLA,4.51,FALSE,ppb,40.918335,-73.641333,2024,Feb
CHFEB24,D3,2/22/2024,S,CHLA,5,FALSE,ppb,40.993669,-73.410498,2024,Feb
WQMAR24,I2,3/4/2024,S,CHLA,1.3,FALSE,ppb,41.137663,-72.655501,2024,Mar
