OID_,Sttn_Nm,STA_SEQ,Dscrptn,Chl_Jan_01,Chl_Jan_08,Chl_Jan_15,Chl_Jan_22,Chl_Jan_29,Chl_Feb_05,Chl_Feb_12,Chl_Feb_19,Chl_Feb26,Chl_Mar_04,Chl_Mar_11,Chl_Mar_18,Chl_Apr_25,Chl_Apr_01,Chl_Apr_08,Chl_Apr_15,Chl_Apr_22,Chl_Apr_29
0,09,17254,Saugatuck River Entrance,2.060439586640000,1.998639702800000,2.659245967860000,0.308295459,3.450705766680000,5.101408004760000,8.548662185670000,9.329423904420000,10.406852722200000,4.854334831240000,4.695139408110000,2.945797204970000,3.835073709490000,2.420495271680000,6.531873226170000,4.270246982570000,3.861056089400000,6.399062633510000
1,15,17256,Smithtown Bay,7.216429710390000,4.899692058560000,5.305009365080000,1.624801993370000,4.351630210880000,3.813599109650000,6.697391510010000,10.519005775500000,3.787835597990000,14.165133476299999,4.963768482210000,5.926230907440000,1.002283811570000,2.279629230500000,1.636901974680000,3.114326715470000,3.216460466380000,4.742191791530000
2,A4,17249,Execution Rocks,12.008133888200000,7.515530586240000,6.801225662230000,3.668972015380000,5.078884124760000,10.674920082100000,18.918056488000001,21.464378356899999,8.197556495670000,9.155680656430000,7.475414276120000,2.829694509510000,12.848736763000000,3.667026758190000,16.956937789900000,8.394260406490000,7.710592269900000,20.783128738399999
3,B3,17250,Rye Beach,16.242635726900001,8.855694770810000,6.765541553500000,5.527332305910000,10.062609672500001,9.329922676090000,13.618267059300001,3.628067255020000,3.625508069990000,7.509483814240000,4.996653556820000,3.824802875520000,7.773824214940000,3.399229764940000,-9999,4.501375675200000,9.742379188539999,7.942737579350000
4,C1,17251,Oyster Bay,3.555818080900000,6.947945594790000,10.117496490500001,2.164105176930000,2.970476150510000,3.763063907620000,10.697544097900000,8.649958610530000,3.067868947980000,4.855946064000000,3.894546270370000,2.692738533020000,3.854860067370000,2.533098697660000,15.177155494699999,4.546850681300000,4.508765220640000,8.977874755860000
5,C2,17252,Stamford,4.776013851170000,7.209935188290000,4.427719116210000,2.480004310610000,4.400743007660000,5.432865619660000,7.638077735900000,8.983561515810001,3.499061346050000,7.413477897640000,3.785524368290000,3.555696010590000,2.727984189990000,2.070928096770000,2.346570491790000,4.431554794310000,5.067717075350000,6.647097587590000
6,D3,17253,Eatons Neck Point,4.095455169680000,4.121376991270000,4.704874992370000,2.643659591670000,2.121284484860000,3.489624023440000,4.740329265590000,10.740600585899999,2.985049724580000,0.729864955,2.966976642610000,2.691752195360000,3.360153198240000,2.403381824490000,2.522491693500000,4.269204139710000,5.058774471280000,5.723601818080000
7,E1,17255,Nissequogue River Entrance,3.034846305850000,5.122898578640000,3.582626819610000,4.564541816710000,2.285829067230000,1.582791924480000,4.590559959410000,5.688817977910000,3.103889703750000,1.283736467360000,3.087533712390000,1.623605966570000,2.008935689930000,1.430315136910000,2.429523944850000,3.592768430710000,2.991501808170000,5.570790290830000
8,F2,17257,Bridgeport,2.346078157420000,3.283479690550000,2.730451822280000,2.391401529310000,2.182360172270000,2.042510986330000,6.074200630190000,6.441923618320000,4.252154350280000,7.497032642360000,3.381679058070000,2.956717491150000,1.787391185760000,1.926910877230000,2.396506547930000,4.410776615140000,3.223523378370000,5.694071769710000
9,F3,17258,"Crane Neck, NY",3.605770826340000,2.228869676590000,2.196022510530000,4.748219966890000,1.829847812650000,3.664705753330000,5.831015586850000,5.573383808140000,2.977021455760000,2.402565956120000,3.705274105070000,2.927269220350000,1.636508703230000,2.449700117110000,3.032427549360000,3.094644546510000,3.752914190290000,3.696958303450000
