SampleID,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2
Achnanthes spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoptychus spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Actinoptychus senarius (Ehrenberg) Ehrenberg, 1843",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoptychus undulatus (Kützing) Ralfs 1861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphiprora spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphora spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterionellopsis glacialis (Castracane) Round 1990,,,,,,,,,,,,,,,,,,,,,4400,1452,,,,,352,,,,,1452,,,,,,,,
Asteroplanus karianus (Grunow) Gardner & Crawford 1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillaria paxillifera (O.F.Müller) T.Marsson 1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteriastrum spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biddulphia spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerataulina pelagica (Cleve) Hendey 1937,13200,13200,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros compressus Lauder 1864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resting spores of Chaetoceros compressus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chaetoceros constrictus Gran, 1897",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros curvisetus Cleve 1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chaetoceros danicus Cleve, 1889",,,,,,,352,1452,,,,1452,,,,,,1452,352,,,,,,,,,,,,,,,,,,,,,
"Chaetoceros decipiens Cleve, 1873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros didymus Ehrenberg 1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resting spores of Chaetoceros didymus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
